# SignalP-5.0	Organism: euk	Timestamp: 20230422020143
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
TRINITY_DN2100_c0_g1_i1	OTHER	0.113384	0.886616	
TRINITY_DN2118_c0_g1_i1	OTHER	0.172884	0.827116	
TRINITY_DN2145_c0_g1_i1	OTHER	0.410724	0.589276	
TRINITY_DN2132_c0_g1_i1	OTHER	0.034033	0.965967	
TRINITY_DN2162_c0_g1_i1	OTHER	0.277877	0.722123	
TRINITY_DN2149_c0_g1_i1	OTHER	0.021665	0.978335	
TRINITY_DN2197_c0_g1_i1	OTHER	0.194326	0.805674	
TRINITY_DN2178_c0_g1_i1	OTHER	0.055064	0.944936	
TRINITY_DN2183_c0_g1_i1	OTHER	0.242285	0.757715	
TRINITY_DN2110_c0_g1_i1	OTHER	0.033554	0.966446	
TRINITY_DN1694_c0_g1_i1	OTHER	0.233438	0.766562	
TRINITY_DN1657_c0_g1_i1	OTHER	0.164083	0.835917	
TRINITY_DN1688_c0_g1_i1	OTHER	0.037393	0.962607	
TRINITY_DN1649_c0_g1_i1	OTHER	0.150993	0.849007	
TRINITY_DN1653_c0_g1_i1	OTHER	0.072867	0.927133	
TRINITY_DN1687_c0_g1_i1	OTHER	0.168989	0.831011	
TRINITY_DN1652_c0_g1_i1	OTHER	0.234510	0.765490	
TRINITY_DN1602_c0_g1_i1	OTHER	0.272235	0.727765	
TRINITY_DN982_c0_g1_i1	OTHER	0.162936	0.837064	
TRINITY_DN918_c0_g1_i1	OTHER	0.069593	0.930407	
TRINITY_DN920_c0_g1_i2	OTHER	0.171775	0.828225	
TRINITY_DN941_c0_g1_i1	OTHER	0.087419	0.912581	
TRINITY_DN911_c0_g1_i1	SP(Sec/SPI)	0.648213	0.351787	CS pos: 20-21. AAA-CC. Pr: 0.1248
TRINITY_DN928_c0_g1_i1	OTHER	0.052763	0.947237	
TRINITY_DN926_c0_g1_i1	OTHER	0.135330	0.864670	
TRINITY_DN444_c0_g1_i1	OTHER	0.384379	0.615621	
TRINITY_DN480_c0_g1_i1	OTHER	0.246286	0.753714	
TRINITY_DN409_c0_g1_i1	OTHER	0.209317	0.790683	
TRINITY_DN1360_c0_g1_i1	OTHER	0.414171	0.585829	
TRINITY_DN1327_c0_g1_i1	OTHER	0.123898	0.876102	
TRINITY_DN1396_c0_g1_i1	OTHER	0.112860	0.887140	
TRINITY_DN1388_c0_g1_i1	OTHER	0.061075	0.938925	
TRINITY_DN1102_c0_g1_i1	OTHER	0.138180	0.861820	
TRINITY_DN1103_c0_g1_i1	OTHER	0.288858	0.711142	
TRINITY_DN1195_c0_g1_i1	OTHER	0.064015	0.935985	
TRINITY_DN1166_c0_g1_i1	OTHER	0.047903	0.952097	
TRINITY_DN1150_c0_g1_i1	OTHER	0.138616	0.861384	
TRINITY_DN1199_c0_g1_i1	OTHER	0.149184	0.850816	
TRINITY_DN1119_c0_g1_i1	OTHER	0.062455	0.937545	
TRINITY_DN1160_c0_g1_i1	OTHER	0.046936	0.953064	
TRINITY_DN1158_c0_g1_i1	OTHER	0.051204	0.948796	
TRINITY_DN1107_c0_g1_i1	OTHER	0.033638	0.966362	
TRINITY_DN1101_c0_g1_i1	OTHER	0.068313	0.931687	
TRINITY_DN1515_c0_g1_i1	OTHER	0.239821	0.760179	
TRINITY_DN1552_c0_g1_i1	OTHER	0.069172	0.930828	
TRINITY_DN1554_c0_g1_i1	OTHER	0.121521	0.878479	
TRINITY_DN1538_c0_g1_i1	OTHER	0.133396	0.866604	
TRINITY_DN1561_c0_g1_i1	OTHER	0.080460	0.919540	
TRINITY_DN1575_c0_g1_i1	OTHER	0.233353	0.766647	
TRINITY_DN1566_c0_g1_i1	OTHER	0.219633	0.780367	
TRINITY_DN1572_c0_g1_i1	OTHER	0.086829	0.913171	
TRINITY_DN1508_c0_g1_i1	OTHER	0.038372	0.961628	
TRINITY_DN1591_c0_g1_i1	OTHER	0.222799	0.777201	
TRINITY_DN1540_c0_g1_i1	OTHER	0.058132	0.941868	
TRINITY_DN1563_c0_g1_i1	OTHER	0.201960	0.798040	
TRINITY_DN1564_c0_g1_i1	OTHER	0.035283	0.964717	
TRINITY_DN1589_c0_g1_i1	OTHER	0.039758	0.960242	
TRINITY_DN1531_c0_g1_i1	OTHER	0.062837	0.937163	
TRINITY_DN1516_c0_g1_i1	OTHER	0.213283	0.786717	
TRINITY_DN1934_c0_g1_i1	OTHER	0.131617	0.868383	
TRINITY_DN2354_c0_g1_i1	OTHER	0.198697	0.801303	
TRINITY_DN2377_c0_g1_i1	OTHER	0.152043	0.847957	
TRINITY_DN2350_c0_g1_i1	OTHER	0.062450	0.937550	
TRINITY_DN2305_c0_g1_i1	OTHER	0.073060	0.926940	
TRINITY_DN2355_c0_g1_i1	OTHER	0.028001	0.971999	
TRINITY_DN2344_c0_g1_i1	OTHER	0.093795	0.906205	
TRINITY_DN1212_c0_g1_i1	OTHER	0.164892	0.835108	
TRINITY_DN1204_c0_g1_i1	OTHER	0.023386	0.976614	
TRINITY_DN1200_c0_g1_i1	OTHER	0.109233	0.890767	
TRINITY_DN279_c0_g1_i1	OTHER	0.213238	0.786762	
TRINITY_DN224_c0_g1_i1	OTHER	0.109286	0.890714	
TRINITY_DN221_c0_g1_i1	OTHER	0.288995	0.711005	
TRINITY_DN801_c0_g1_i1	OTHER	0.046924	0.953076	
TRINITY_DN889_c0_g1_i1	OTHER	0.113297	0.886703	
TRINITY_DN809_c0_g1_i1	OTHER	0.087799	0.912201	
TRINITY_DN829_c0_g1_i1	OTHER	0.137953	0.862047	
TRINITY_DN859_c0_g1_i1	OTHER	0.201823	0.798177	
TRINITY_DN878_c0_g1_i1	OTHER	0.115556	0.884444	
TRINITY_DN883_c0_g1_i1	OTHER	0.038133	0.961867	
TRINITY_DN892_c0_g1_i1	OTHER	0.046356	0.953644	
TRINITY_DN1042_c0_g1_i1	SP(Sec/SPI)	0.631168	0.368832	CS pos: 20-21. CAG-AT. Pr: 0.1038
TRINITY_DN1005_c0_g1_i1	OTHER	0.122219	0.877781	
